Time,other,x,y,z
2215,1120,-53,750,830
2235,1110,-48,733,832
2255,1131,-65,717,872
2276,1153,-82,714,902
2296,1132,-66,687,897
2316,996,-89,639,759
2336,1010,-126,659,755
2356,1049,-44,612,850
2376,1043,-52,621,836
2396,992,-43,598,790
2416,862,-56,578,637
2437,851,-39,607,595
2457,964,-7,686,678
2477,1031,17,702,756
2497,983,0,695,695
2517,871,0,671,555
2537,891,-13,703,547
2557,890,-24,692,559
2578,879,-16,682,555
2598,903,-4,710,558
2618,880,-3,708,523
2638,836,-2,699,458
2658,848,4,726,439
2678,882,31,741,476
2698,902,81,731,522
2719,897,108,721,522
2739,894,36,752,483
2759,889,-11,754,470
2779,919,3,756,523
2799,949,15,754,577
2819,958,12,725,626
2839,946,2,729,603
2860,931,18,726,582
2880,916,46,715,569
2900,856,54,672,527
2920,819,57,657,486
2940,805,81,647,472
2960,791,58,658,435
2980,800,-5,692,400
3001,826,-7,710,422
3021,878,29,697,533
3041,896,89,680,577
3061,866,89,688,518
3081,867,21,714,491
3101,873,-22,729,479
3121,832,-13,692,460
3142,830,21,685,469
3162,849,28,690,493
3182,866,29,678,538
3202,868,12,701,512
3222,829,-9,701,442
3242,816,-12,692,432
3262,840,-4,683,489
3283,880,-23,684,554
3303,887,-44,673,576
3323,855,-58,657,543
3343,823,-35,638,518
3363,845,-33,643,547
3383,863,-26,640,578
3403,846,-35,639,554
3424,797,-37,613,508
3444,797,-38,623,495
3464,815,-42,643,498
3484,817,-41,664,474
3504,833,-23,678,482
3524,833,-23,678,482
3544,824,-47,664,484
3565,804,-64,647,473
3585,799,-85,657,446
3605,829,-60,656,504
3625,793,-66,638,466
3645,769,-32,632,435
3665,770,6,636,434
3685,800,-4,655,458
3706,828,-27,683,466
3726,826,14,706,428
3746,851,24,740,418
3766,875,-2,775,407
3786,911,-1,777,474
3806,954,33,783,544
3826,975,57,773,592
3847,971,46,764,598
3867,959,20,757,588
3887,940,47,742,575
3907,943,44,752,567
3927,949,75,764,557
3947,934,70,760,538
3967,953,95,763,563
3988,925,125,737,544
4008,903,97,738,511
4028,906,103,747,502
4048,892,113,744,479
4068,901,68,770,462
4088,924,79,771,502
4108,933,62,784,502
4129,927,69,777,502
4149,931,61,792,486
4169,905,61,778,459
4189,894,30,771,451
4209,909,18,769,484
4229,917,16,762,508
4249,924,7,756,531
4270,943,-9,777,534
4290,906,-7,765,485
4310,912,3,781,472
4330,913,28,775,482
4350,941,29,781,525
4370,954,7,778,552
4390,948,9,775,546
4411,945,22,793,514
4431,942,24,808,483
4451,965,38,831,487
4471,1023,45,871,535
4491,1054,44,889,564
4511,1067,55,894,579
4531,1080,46,907,584
4552,1099,50,931,582
4572,1137,45,963,603
4592,1135,35,954,613
4612,1132,26,942,627
4632,1149,28,942,657
4652,1169,48,947,683
4672,1168,54,962,660
4692,1162,48,964,647
4713,1155,36,945,662
4733,1134,17,907,679
4753,1109,23,864,695
4773,1090,23,833,703
4793,1062,-1,821,673
4813,1009,-7,796,620
4833,960,1,773,568
4854,906,14,752,506
4874,894,24,769,454
4894,938,36,828,440
4914,959,47,843,455
4934,958,53,822,490
4954,982,56,812,548
4974,1045,51,860,592
4995,1066,47,880,600
5015,1019,20,806,622
5035,970,-38,771,588
5055,969,-20,758,603
5075,1025,-16,801,638
5095,1034,0,810,642
5115,1039,5,841,610
5136,1069,-27,829,675
5156,1067,-55,803,700
5176,1063,-50,840,648
5196,946,-62,757,563
5216,809,-49,608,531
5236,911,-9,681,606
5256,988,-26,719,677
5277,963,-51,719,639
5297,961,-53,721,633
5317,947,-51,715,618
5337,967,-64,732,628
5357,992,-50,740,658
5377,998,-49,749,657
5397,1005,-44,756,659
5418,1011,-32,743,684
5438,1046,-12,774,703
5458,1058,-31,791,701
5478,1044,-1,786,687
5498,1014,30,772,656
5518,949,97,730,599
5538,935,96,737,567
5559,957,23,748,597
5579,961,-14,732,622
5599,932,-8,716,596
5619,935,22,716,600
5639,959,27,747,600
5659,954,-58,803,512
5679,975,-68,826,513
5700,1041,-19,873,565
5720,1052,-5,879,577
5740,1023,-20,879,522
5760,1054,-37,893,558
5780,1102,-27,892,646
5800,1147,-19,891,721
5820,1186,-61,918,748
5841,1168,-78,913,724
5861,1175,-68,896,756
5881,1162,-95,872,762
5901,1176,-114,840,815
5921,1175,-78,789,867
5941,1174,-85,752,897
5961,1217,-95,740,961
5982,1244,-72,738,999
6002,1205,-53,713,970
6022,1159,-35,711,913
6042,1109,-40,718,844
6062,1048,-42,706,773
6082,1028,-45,687,763
6102,1018,-40,670,765
6123,985,-35,646,742
6143,952,-17,645,699
6163,950,-9,659,684
6183,916,-22,656,639
6203,891,-36,647,611
6223,899,-26,638,632
6243,912,-10,631,658
6264,898,4,644,626
6284,860,15,650,563
6304,845,6,672,512
6324,838,33,669,502
6344,889,49,705,539
6364,929,-6,747,552
6384,866,-14,705,502
6405,899,-10,711,550
6425,930,19,718,591
6445,952,20,728,613
6465,966,29,726,637
6485,978,20,726,654
6505,1002,2,736,680
6525,1017,14,742,694
6546,1005,29,739,680
6566,995,10,740,665
6586,1024,1,757,689
6606,1045,42,759,717
6626,1044,47,757,717
6646,1036,15,757,706
6666,1037,9,761,705
6687,1055,17,774,717
6707,1053,40,781,705
6727,1041,39,764,705
6747,1010,2,733,695
6767,1005,8,721,700
6787,1003,21,720,698
6807,971,13,705,668
6828,945,7,708,625
6848,958,21,723,627
6868,954,19,728,615
6888,954,19,728,615
6908,959,36,739,609
6928,943,39,739,585
6948,947,43,738,592
6968,965,29,738,622
6989,970,19,728,640
7009,962,18,718,639
7029,959,24,719,633
7049,975,29,742,632
7069,966,18,741,619
7089,978,12,750,628
7109,979,45,760,615
7130,989,59,776,609
7150,1007,33,796,615
7170,1000,14,792,609
7190,1008,14,776,642
7210,1002,20,760,653
7230,984,16,763,620
7250,986,21,768,618
7271,1001,11,783,623
7291,1013,33,786,637
7311,1025,36,801,638
7331,1016,34,807,616
7351,1013,26,805,614
7371,1014,20,795,628
7391,1035,21,787,672
7412,1030,21,789,660
7432,1021,27,798,635
7452,1033,34,802,651
7472,1047,31,808,664
7492,1047,31,808,664
7512,1033,37,812,636
7532,1030,30,833,605
7553,1044,25,847,610
7573,1084,38,853,668
7593,1108,46,849,710
7613,1097,39,850,692
7633,1098,27,864,677
7653,1089,15,858,671
7673,1090,19,848,685
7694,1102,39,844,707
7714,1087,28,832,698
7734,1067,29,816,687
7754,1063,54,812,683
7774,1046,46,807,664
7794,1023,25,788,651
7814,989,10,769,621
7835,964,20,752,602
7855,979,36,765,610
7875,1003,57,792,611
7895,980,64,804,557
7915,989,80,811,560
7935,1023,56,830,595
7955,1044,60,827,634
7976,1047,68,822,644
7996,1038,45,815,641
8016,1044,30,817,648
8036,1040,38,814,646
8056,1036,40,813,640
8076,1017,27,796,632
8096,998,32,785,615
8117,1000,40,791,611
8137,1015,52,788,637
8157,978,83,776,589
8177,952,86,777,544
8197,946,69,774,540
8217,939,62,770,534
8237,932,65,766,526
8258,939,65,776,525
8278,910,71,762,492
8298,935,52,778,516
8318,941,58,797,497
8338,952,58,822,477
8358,964,56,852,446
8378,988,36,879,449
8399,1031,32,903,497
8419,1053,22,901,544
8439,1059,2,896,564
8459,1059,-24,892,570
8479,1060,-36,884,582
8499,1084,-26,892,616
8519,1102,-13,902,632
8540,1098,-13,904,623
8560,1102,-21,913,616
8580,1087,-25,898,611
8600,1094,-24,917,596
8620,1098,-5,917,605
8640,1108,-1,923,613
8660,1113,-7,928,613
8681,1120,-7,926,630
8701,1097,-9,904,620
8721,1082,-12,891,614
8741,1064,-10,864,622
8761,1053,-4,845,628
8781,1033,-11,834,609
8801,1029,-6,831,606
8821,1013,-7,830,582
8842,1011,14,835,570
8862,1023,36,848,570
8882,1027,29,861,560
8902,1032,32,863,564
8922,1044,29,872,573
8942,1056,20,891,566
8962,1084,27,915,581
8983,1103,24,922,606
9003,1122,5,920,641
9023,1122,5,920,641
9043,1129,4,930,640
9063,1148,0,941,658
9083,1149,16,936,664
9103,1152,11,919,694
9124,1137,-9,904,689
9144,1113,-3,893,663
9164,1118,24,906,654
9184,1116,40,917,633
9204,1110,46,920,619
9224,1118,24,909,650
9244,1087,21,879,639
9265,1082,9,887,618
9285,1076,23,910,574
9305,1094,46,944,551
9325,1135,52,981,568
9345,1168,49,1004,594
9365,1180,41,998,628
9385,1174,21,972,656
9406,1172,12,954,680
9426,1172,33,959,673
9446,1174,42,971,658
9466,1182,28,988,648
9486,1186,27,993,647
9506,1201,47,992,674
9526,1214,54,993,697
9547,1194,53,978,683
9567,1167,33,963,657
9587,1193,45,967,698
9607,1179,14,972,666
9627,1175,17,972,660
9647,1192,34,966,698
9667,1180,15,952,697
9688,1174,4,941,701
9708,1157,1,921,699
9728,1123,6,910,657
9748,1124,2,919,646
9768,1121,9,934,620
9788,1116,25,932,613
9808,1088,45,898,612
9829,1100,35,886,649
9849,1105,65,893,648
9869,1114,78,924,618
9889,1111,86,937,591
9909,1111,71,917,623
9929,1112,90,904,642
9949,1076,101,899,582
9970,1070,102,912,550
9990,1099,71,913,606
10010,1075,-1,907,578
10030,1093,-25,900,619
10050,1148,-54,932,668
10070,1196,-247,1013,587
10090,1155,-309,990,508
10111,1143,-168,979,565
10131,1120,-161,1002,473
10151,1189,-38,970,686
10171,1130,-43,918,657
10191,1100,-42,888,647
10211,1118,10,881,688
10231,1167,7,901,741
10252,1175,17,914,738
10272,1151,17,926,683
10292,1128,13,933,632
10312,1147,-22,949,644
10332,1181,-33,967,677
10352,1209,-2,966,727
10372,1192,2,962,704
10393,1174,39,946,694
10413,1210,30,980,708
10433,1234,16,998,726
10453,1228,24,1019,685
10473,1235,40,1046,655
10493,1262,59,1064,676
10513,1264,52,1058,690
10534,1308,41,1083,732
10554,1331,48,1091,761
10574,1343,62,1097,772
10594,1359,73,1112,778
10614,1387,82,1120,814
10634,1382,84,1120,805
10654,1374,43,1131,779
10675,1363,48,1134,753
10695,1377,72,1173,717
10715,1440,46,1204,788
10735,1432,91,1208,763
10755,1441,46,1264,690
10775,1356,107,1225,569
10795,1301,185,1218,418
10816,1282,162,1204,410
10836,1356,105,1235,549
10856,1443,41,1277,670
10876,1387,66,1204,685
10896,1304,47,1138,636
10916,1202,-1,1052,580
10936,1261,-30,1058,686
10957,1307,36,1039,793
10977,1374,29,1084,844
10997,1392,-52,1164,761
11017,1221,-12,912,811
11037,1186,3,822,855
11057,1235,26,843,901
11077,1328,-188,1045,797
11097,1155,-97,990,587
11118,1169,-161,1017,553
11138,1166,-295,936,630
11158,1006,-161,824,554
11178,1173,-81,1065,485
11198,1228,-55,1054,626
11218,1164,-254,1069,385
11238,1077,-41,1018,350
11259,1114,74,1084,248
11279,1231,199,1185,268
11299,1260,220,1209,280
11319,1045,117,961,392
11339,1046,65,1013,254
11359,1159,-48,1112,324
11379,1169,-60,1101,386
11400,1071,73,1005,362
11420,1137,151,1085,303
11440,1145,17,1104,303
11460,1181,-103,1132,320
11480,1233,-87,1172,371
11500,1191,-25,1115,417
11520,1207,3,1129,427
11541,1059,12,995,362
11561,981,-15,914,356
11581,949,-39,856,407
11601,938,-52,803,482
11621,937,-83,800,479
11641,971,-115,801,536
11661,989,-79,816,552
11682,936,-38,776,521
11702,966,20,822,506
11722,991,55,834,532
11742,1013,134,839,550
11762,1057,172,899,527
11782,1102,35,956,546
11802,1124,104,980,542
11823,1190,14,997,648
11843,1108,-106,930,593
11863,1023,-74,897,486
11883,975,-73,911,339
11903,974,-168,910,305
11923,990,-147,917,343
11943,1067,-154,817,669
11964,1175,-95,856,800
11984,1126,-76,864,717
12004,1009,-79,787,626
12024,1028,2,626,816
12044,1148,80,610,969
12064,1286,35,777,1023
12084,1187,80,825,849
12105,1313,107,962,888
12125,1359,140,1029,877
12145,1223,150,960,742
12165,1225,186,925,780
12185,1112,178,729,820
12205,952,121,645,690
12225,914,56,704,580
12246,1039,-87,923,469
12266,1005,-118,891,450
12286,899,-112,770,449
12306,929,-121,818,422
12326,1126,-133,1012,475
12346,1343,-139,1253,462
12366,1295,-25,1227,415
12387,1428,-56,1393,312
12407,1353,-41,1260,493
12427,1416,-141,1313,510
12447,1339,-341,1215,446
12467,1258,-524,1091,341
12487,1300,-514,1148,327
12507,1242,-439,1126,286
12528,1159,-444,1039,258
12548,1087,-571,903,200
12568,1051,-552,883,141
12588,1090,-528,897,325
12608,1065,-383,922,369
12628,1150,-185,1004,529
12648,1080,-98,934,533
12669,1219,26,924,794
12689,1133,200,911,643
12709,1027,313,802,560
12729,900,349,739,377
12749,888,431,719,293
12769,947,540,756,183
12789,982,488,836,168
12810,1023,372,919,251
12830,1027,301,914,358
12850,1055,249,986,280
12870,1109,173,1095,-36
12890,1101,85,1094,-79
12910,1053,-28,1027,229
12930,1099,11,1039,359
12951,1166,144,1056,472
12971,1069,255,963,387
12991,1057,271,912,459
13011,1059,298,931,408
13031,1132,349,980,445
13051,1088,362,902,488
13071,976,397,833,316
13092,906,308,763,379
13112,827,193,722,353
13132,813,123,728,339
13152,359,-309,182,-19
13172,752,-273,696,72
13192,804,32,743,305
13212,936,11,823,446
13233,1025,40,972,322
13253,1083,57,1052,249
13273,905,-14,887,181
13293,919,10,879,267
13313,854,40,723,452
13333,952,-25,822,479
13353,829,33,738,377
13373,999,80,972,215
13394,888,-26,836,300
13414,966,2,848,462
13434,939,-7,891,296
13454,926,-59,852,358
13474,959,-38,921,265
13494,959,45,912,294
13514,949,10,894,316
13535,888,-29,845,271
13555,937,-38,903,248
13575,1035,44,959,387
13595,1014,36,960,324
13615,961,21,922,271
13635,1019,7,989,248
13655,1047,-10,998,316
13676,1035,18,1001,261
13696,975,-16,931,288
13716,1021,-65,969,314
13736,985,3,953,248
13756,969,19,943,222
13776,963,3,926,265
13796,1028,-36,979,309
13817,941,-13,921,191
13837,897,52,886,130
13857,922,-26,895,221
13877,1070,-27,1000,378
13897,997,26,976,203
13917,918,13,907,142
13937,985,28,951,254
13958,1024,-16,963,347
13978,988,18,963,218
13998,973,14,962,141
14018,1038,-23,991,308
14038,994,-32,949,293
14058,975,10,954,202
14078,936,-16,922,160
14099,999,-5,963,266
14119,1017,-29,980,269
14139,979,20,953,222
14159,990,32,973,176
14179,1011,-18,973,275
14199,1051,-22,1010,288
14219,1025,-18,991,259
14240,1025,15,997,240
14260,1007,0,975,251
14280,1016,-48,988,232
14300,1025,-18,1001,218
14320,1072,16,1024,316
14340,1033,-25,995,276
14360,993,-13,972,201
14381,1017,24,1000,182
14401,1015,-15,974,284
14421,1018,14,982,266
14441,998,1,966,250
14461,1080,44,1049,254
14481,1034,-11,1006,236
14501,1063,-44,1023,288
14522,992,3,972,199
14542,994,50,984,133
14562,986,-37,945,276
14582,1046,20,1012,263
14602,950,20,930,196
14622,942,23,929,151
14642,963,58,940,204
14663,985,24,946,272
14683,959,-19,932,227
14703,970,25,941,234
14723,970,25,941,234
14743,998,40,968,237
14763,980,46,953,224
14783,935,0,910,212
14804,957,-1,927,238
14824,996,-25,958,270
14844,992,20,970,207
14864,955,50,933,198
14884,965,28,934,239
14904,975,-4,948,228
14924,1002,7,970,248
14945,1009,-1,973,267
14965,1018,1,980,277
14985,999,13,972,232
15005,919,-23,896,203
15025,996,0,975,205
15045,985,21,957,228
15065,1003,-30,974,235
15086,985,13,947,270
15106,1008,-10,976,254
15126,1004,22,969,259
15146,1008,43,974,255
15166,996,13,965,243
15186,997,3,967,242
15206,976,28,956,192
15227,991,5,960,246
15247,991,-5,964,226
15267,1035,15,1002,260
15287,995,34,970,220
15307,962,14,929,249
15327,1052,-37,1020,251
15347,1036,13,997,281
15368,1045,15,1019,229
15388,952,-25,930,202
15408,1026,37,1006,197
15428,996,0,956,278
15448,1031,-2,992,281
15468,958,21,928,240
15488,1006,28,987,193
15509,995,7,966,236
15529,992,-10,956,264
15549,952,-10,942,135
15569,953,16,939,162
15589,999,42,977,201
15609,965,-11,927,268
15629,960,25,939,198
15649,927,11,903,207
15670,965,23,936,231
15690,899,-8,876,202
15710,992,14,968,214
15730,913,1,882,234
15750,932,-5,900,242
15770,896,21,877,182
15790,918,35,908,128
15811,875,-4,850,208
15831,923,15,886,260
15851,868,62,847,180
15871,865,30,849,163
15891,897,46,872,204
15911,862,10,828,237
15931,916,31,890,212
15952,885,36,859,208
15972,885,30,867,171
15992,857,2,833,203
16012,935,19,910,216
16032,865,3,844,190
16052,848,0,825,195
16072,866,18,839,216
16093,922,-16,891,236
16113,858,33,838,184
16133,826,29,807,177
16153,854,-7,828,209
16173,902,8,868,243
16193,862,26,843,177
16213,856,18,836,183
16234,861,43,838,197
16254,862,-21,826,247
16274,869,17,848,191
16294,822,21,804,170
16314,853,-27,828,206
16334,862,22,830,232
16354,856,-21,835,188
16375,852,7,834,174
16395,840,-11,807,233
16415,865,-6,833,232
16435,882,21,860,196
16455,877,5,855,197
16475,852,3,813,254
16495,845,1,813,231
16516,895,17,861,244
16536,901,15,884,170
16556,815,-34,786,212
16576,838,-37,809,214
16596,859,5,826,237
16616,827,-1,800,210
16636,780,4,764,156
16657,812,21,789,190
16677,821,-43,783,243
16697,836,-67,796,247
16717,734,10,724,122
16737,742,8,731,126
16757,775,-28,739,230
16777,799,-45,754,259
16798,751,-56,726,181
16818,756,-27,739,156
16838,775,15,749,199
16858,768,7,711,290
16878,760,-41,728,216
16898,760,-51,734,190
16918,799,-46,775,190
16939,763,2,739,189
16959,772,-47,749,182
16979,758,-46,734,184
16999,825,-29,792,228
17019,785,-45,746,240
17039,810,-35,782,208
17059,795,-40,768,199
17080,861,-83,822,243
17100,822,-16,796,204
17120,859,-44,825,233
17140,843,-50,821,184
17160,828,-75,800,200
17180,819,-81,788,208
17200,834,-69,809,190
17221,824,-71,802,178
17241,816,-107,771,244
17261,817,-65,782,230
17281,810,-56,781,207
17301,789,-104,756,198
17321,811,-82,771,237
17341,813,-84,776,226
17362,761,-100,731,183
17382,772,-79,751,159
17402,737,-81,697,223
17422,777,-125,741,198
17442,735,-102,702,191
17462,746,-114,703,220
17482,691,-107,665,153
17503,674,-70,666,76
17523,578,42,548,180
17543,821,7,801,181
17563,694,51,582,374
17583,794,-49,684,400
17603,662,-45,609,255
17623,698,-188,666,-89
17644,520,0,442,-274
17664,724,-64,697,186
17684,804,-221,561,530
17704,718,-75,651,292
17724,629,-138,608,-86
17744,617,-88,599,119
17764,768,-139,689,308
17785,575,0,518,250
17805,661,-32,655,83
17825,636,40,629,80
17845,729,-71,644,333
17865,656,-149,569,290
17885,676,-79,653,157
17905,630,6,623,94
17926,618,-64,596,151
17946,587,-72,557,169
17966,641,-87,605,194
17986,635,-39,616,148
18006,569,38,551,135
18026,657,38,634,167
18046,632,-67,583,234
18067,586,-100,568,104
18087,619,-34,593,176
18107,725,-28,684,239
18127,675,-46,638,215
18147,663,-90,632,179
18167,641,-116,625,85
18187,708,-68,678,194
18207,661,-85,629,185
18228,655,-73,635,140
18248,646,-62,638,76
18268,627,-43,592,204
18288,665,-54,628,210
18308,585,-56,564,143
18328,655,-30,644,113
18348,616,-55,574,216
18369,634,-66,607,170
18389,522,-71,499,138
18409,601,-115,578,117
18429,538,-58,513,151
18449,558,0,549,100
18469,505,-25,477,165
18489,554,-67,532,138
18510,495,-44,467,158
18530,521,-23,502,137
18550,490,1,480,97
18570,559,5,530,176
18590,503,3,482,145
18610,519,5,491,168
18630,559,20,544,128
18651,526,20,493,180
18671,559,21,544,125
18691,601,11,558,223
18711,637,-35,614,166
18731,588,-10,563,170
18751,625,30,611,126
18771,664,-21,630,206
18792,671,-82,626,226
18812,624,-33,621,47
18832,677,1,670,96
18852,726,17,716,119
18872,703,3,667,222
18892,597,12,585,118
18912,659,25,649,109
18933,732,34,710,175
18953,764,-2,713,274
18973,720,22,701,161
18993,699,39,682,149
19013,716,-34,703,127
19033,864,-43,771,389
19053,803,69,789,130
19074,683,50,679,59
19094,787,95,779,59
19114,743,76,702,232
19134,755,8,718,232
19154,642,-14,634,105
19174,796,77,782,126
19194,720,55,691,197
19215,780,13,743,236
19235,712,-5,691,170
19255,762,-111,689,306
19275,769,30,760,109
19295,836,2,807,216
19315,841,-4,840,44
19335,795,-63,774,172
19356,866,-22,862,86
19376,885,25,877,119
19396,887,7,881,103
19416,790,-36,782,107
19436,892,-61,880,136
19456,844,-51,830,144
19476,846,-46,842,71
19497,888,-13,881,109
19517,932,-61,917,156
19537,932,-98,915,147
19557,903,-29,882,189
19577,889,12,887,53
19597,992,3,981,143
19617,1016,-51,995,197
19638,988,-112,957,218
19658,1002,-84,987,150
19678,1022,-120,996,198
19698,1088,-117,1058,224
19718,1057,-109,1039,163
19738,1128,-106,1120,81
19758,1072,-25,1070,-44
19779,1104,-4,1101,-79
19799,1058,-8,1056,-70
19819,1116,-21,1114,-64
19839,1137,15,1136,-45
19859,1107,22,1107,-4
19879,1141,16,1140,22
19899,1184,-13,1183,27
19920,1155,-50,1150,93
19940,1149,-48,1143,111
19960,1123,-1,1118,105
19980,1118,49,1113,88
20000,1155,29,1152,71
20020,1202,-14,1198,105
20040,1200,-27,1197,80
20061,1210,-40,1209,51
20081,1231,-59,1229,28
20101,1267,-29,1267,11
20121,1324,0,1323,32
20141,1433,19,1430,89
20161,1424,42,1420,85
20181,1457,16,1454,90
20202,1584,-53,1566,231
20222,1697,-7,1686,193
20242,1668,104,1664,59
20262,1618,168,1604,-126
20282,1556,106,1532,-252
20302,1585,-46,1576,-163
20322,1649,-128,1641,-95
20343,1661,-123,1644,-202
20363,1740,-63,1725,-218
20383,1863,78,1854,-164
20403,1824,205,1812,-10
20423,1875,281,1854,-16
20443,1897,392,1855,-63
20463,1821,354,1784,90
20483,1760,259,1728,215
20504,1857,345,1814,202
20524,1999,420,1943,204
20544,1985,314,1954,149
20564,1907,221,1890,125
20584,2001,279,1974,170
20604,2096,341,2068,46
20624,2188,268,2169,101
20645,2423,227,2376,417
20665,2385,242,2351,315
20685,2331,187,2320,121
20705,2376,172,2370,27
20725,2290,-19,2276,250
20745,2248,-159,2239,130
20765,2172,-173,2165,-2
20786,2078,-212,2058,194
20806,1943,-326,1908,169
20826,1755,-369,1711,122
20846,1679,-404,1629,41
20866,1625,-504,1544,6
20886,1710,-539,1621,59
20906,1864,-498,1775,272
20927,1982,-362,1933,249
20947,2128,-164,2116,158
20967,2380,-25,2362,283
20987,2419,19,2399,309
21007,2283,-40,2282,62
21027,2326,-140,2320,-89
21047,2389,-212,2375,141
21068,2408,-230,2350,469
21088,2354,-196,2309,414
21108,2286,-85,2275,196
21128,2277,3,2262,263
21148,2193,18,2172,301
21168,2092,-26,2081,206
21188,2019,-169,2004,175
21209,2014,-354,1949,361
21229,2018,-376,1945,383
21249,2055,-401,2001,241
21269,2142,-459,2087,147
21289,2180,-399,2132,212
21309,2232,-346,2173,374
21329,2344,-290,2288,419
21350,2453,-143,2391,528
21370,2491,22,2422,582
21390,2505,106,2479,347
21410,2440,85,2433,170
21430,2423,84,2381,441
21450,2463,50,2401,545
21470,2362,-137,2319,426
21491,2235,-317,2177,394
21511,2331,-352,2226,592
21531,2317,-171,2262,468
21551,2237,-130,2222,225
21571,2180,-175,2171,91
21591,2240,-84,2210,355
21611,2349,19,2272,594
21632,2328,-38,2283,453
21652,2326,-119,2299,337
21672,2445,-43,2372,592
21692,2546,40,2419,795
21712,2513,42,2458,523
21732,2620,75,2588,402
21752,2859,137,2732,830
21773,2888,216,2748,862
21793,2728,252,2671,494
21813,2827,311,2784,379
21833,2989,274,2869,793
21853,2888,276,2780,730
21873,2669,246,2649,210
21893,2662,125,2654,162
21914,2726,28,2691,433
21934,2605,-33,2554,513
21954,2453,-18,2384,578
21974,2373,82,2256,732
21994,2295,15,2095,936
22014,2140,-73,1980,807
22034,2126,76,2083,416
22055,2020,75,1992,329
22075,1892,-254,1794,546
22095,1955,-369,1857,487
22115,2282,84,2270,214
22135,2608,415,2573,83
22155,2505,236,2447,480
22175,2681,272,2505,913
22196,2963,605,2761,889
22216,2836,597,2641,840
22236,2586,319,2366,993
22256,2657,151,2426,1072
22276,2611,293,2493,719
22296,2293,235,2250,370
22316,2264,105,2256,162
22337,2297,104,2284,228
22357,2092,-32,2070,302
22377,2042,-175,2018,261
22397,2194,-96,2170,307
22417,2337,78,2279,513
22437,2323,119,2207,715
22457,2279,162,2195,591
22478,2355,123,2278,585
22498,2326,31,2214,712
22518,2392,-13,2278,729
22538,2381,3,2309,580
22558,2369,-131,2261,694
22578,2534,-182,2362,901
22598,2730,-102,2487,1121
22619,2512,-66,2385,784
22639,2391,-197,2304,606
22659,2664,-83,2498,920
22679,2833,40,2520,1292
22699,2617,38,2414,1010
22719,2472,-15,2403,581
22739,2381,-74,2315,553
22759,2457,-80,2333,764
22780,2514,80,2402,739
22800,2400,43,2311,646
22820,2267,-210,2136,732
22840,2217,-374,2014,846
22860,2197,-185,2109,588
22880,2310,43,2285,340
22900,2344,42,2269,586
22921,2284,-77,2109,873
22941,2331,-193,2221,680
22961,2242,-393,2177,366
22981,2259,-498,2137,535
23001,2419,-452,2152,1006
23021,2533,-269,2302,1022
23041,2538,-185,2442,666
23062,2580,-216,2464,734
23082,2746,-169,2483,1160
